Cluster,gene_representative,pan_gene_class,product_name,frequency
Cluster 52120,562.12959.peg.3341,core,"Inhibitor of vertebrate c-type lysozyme, outer membrane => MliC_1",1966
Cluster 52121,562.12959.peg.3596,core,Translation initiation factor SUI1-related protein_1,1968
Cluster 52122,562.12959.peg.2086,core,Uncharacterized protein YqcC_1,1966
Cluster 52123,562.12959.peg.4711,core,Cytochrome O ubiquinol oxidase subunit IV (EC 1.10.3.-)_1,1970
Cluster 52124,562.12959.peg.1116,core,Thioredoxin_1,1970
Cluster 52126,562.12959.peg.3706,core,"dsDNA mimic protein, highly acidic_1",1969
Cluster 52128,562.12959.peg.3861,accessory,"Phage tail tip, assembly protein M_2",850
Cluster 52129,562.12961.peg.951,core,Thiosulfate sulfurtransferase GlpE (EC 2.8.1.1)_1,1970
Cluster 52130,562.12961.peg.2362,unique,Toxin HigB_4,25
Cluster 52132,562.12961.peg.727,core,Transcriptional repressor protein TrpR_1,1970
Cluster 52135,562.12961.peg.327,core,DNA-binding transcriptional dual regulator SoxS_1,1968
Cluster 52142,562.16324.peg.5283,unique,Periplasmic divalent cation tolerance protein CutA_1,9
Cluster 52143,562.16325.peg.3892,unique,General secretion pathway protein M_4,6
Cluster 52144,562.16325.peg.1965,unique,Ferredoxin_2,13
Cluster 52148,562.17621.peg.2988,accessory,"Phage tail tip, assembly protein M_5",628
Cluster 52150,562.19186.peg.1847,core,"PTS system, fructose-like IIB component FryB_1",1965
Cluster 52152,562.22430.peg.4699,unique,"Phage tail tip, assembly protein M_6",95
Cluster 52153,562.22430.peg.4636,accessory,small multidrug resistance family (SMR) protein_2,212
Cluster 52155,562.22432.peg.4512,unique,Phage protein_91,113
Cluster 52157,562.22434.peg.2392,accessory,Antitoxin to RelE-like translational repressor toxin_8,326
Cluster 52159,562.22435.peg.4618,accessory,"Phage tail tip, assembly protein M_7",951
Cluster 52160,562.22435.peg.1470,unique,Putative phosphoethanolamine transferase YjgX_7,98
Cluster 52164,562.22439.peg.2807,accessory,Uncharacterized GST-like protein yncG_5,224
Cluster 52176,562.22477.peg.3907,unique,Phage ea22 protein_25,28
Cluster 52180,562.22512.peg.2399,unique,LysR-family transcriptional regulator YbeF_6,94
Cluster 52181,562.22517.peg.4853,unique,Ferrichrome-iron receptor_3,31
Cluster 52186,562.22538.peg.1136,unique,Phage Orf91 protein_2,13
Cluster 52189,562.22565.peg.5073,unique,Phage baseplate assembly protein GpV_10,10
Cluster 52191,562.22583.peg.4807,accessory,Rhs-family protein_11,193
Cluster 52201,562.22660.peg.2547,unique,6-phospho-beta-glucosidase (EC 3.2.1.86)_19,6
Cluster 52205,562.22677.peg.4607,unique,Mobile element protein_351,5
Cluster 52210,562.22703.peg.696,unique,UPF0174 protein YaaW_3,9
Cluster 52217,562.22743.peg.101,unique,Putative phosphoethanolamine transferase YhbX_8,18
Cluster 52222,562.22754.peg.4368,unique,Mobile element protein_425,90
Cluster 52224,562.22780.peg.4216,unique,Heat shock protein C_6,8
Cluster 52233,562.22919.peg.5164,unique,IncF plasmid conjugative transfer pilin acetylase TraX_6,6
Cluster 52249,562.23026.peg.508,unique,Type 1 fimbrae adaptor subunit FimG_4,6
Cluster 52254,562.23049.peg.4652,unique,Putative uncharacterized membrane protein YdeT_4,10
Cluster 52257,562.23074.peg.5127,unique,Plasmid SOS inhibition protein PsiA_10,6
Cluster 52259,562.23101.peg.5150,unique,Outer membrane porin OmpF_18,5
Cluster 52276,562.23385.peg.4239,unique,Type 1 fimbriae regulatory protein FimB_7,6
Cluster 52288,562.23585.peg.519,unique,D-serine dehydratase transcriptional activator_9,10
Cluster 52300,562.23817.peg.4930,unique,"H repeat-associated protein, YhhI family_79",81
Cluster 52302,562.23872.peg.5125,unique,Mobile element protein_792,7
Cluster 52304,562.23898.peg.42,core,LSU ribosomal protein L21p_1,1970
Cluster 52319,562.31466.peg.868,accessory,Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)_7,184
Cluster 52324,562.37108.peg.1046,unique,Uncharacterized substrate-biding protein YbaE_8,7
Cluster 52329,562.42667.peg.2149,unique,Dihydrolipoamide succinyltransferase component (E2) of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61)_4,6
Cluster 52332,562.42693.peg.5498,unique,IS1 protein InsB_49,15
Cluster 52342,562.42788.peg.5159,unique,Mobile element protein_1179,15
Cluster 52359,562.45394.peg.479,unique,S-(hydroxymethyl)glutathione dehydrogenase (EC 1.1.1.284)_37,11
Cluster 52363,562.7626.peg.4765,accessory,Transposase InsC for insertion element IS2_27,303
Cluster 52375,562.7701.peg.5498,unique,Mobile element protein_1477,13
Cluster 52385,562.7785.peg.4987,unique,Phage recombination protein NinB_26,29
Cluster 52388,562.12959.peg.2480,core,Uncharacterized protein YpeC_1,1963
Cluster 52391,562.12959.peg.3521,accessory,"Putative uncharacterized protein ydbL, may be related to amine metabolism_1",1907
Cluster 52393,562.12959.peg.681,core,Nitrite reductase [NAD(P)H] small subunit (EC 1.7.1.4)_1,1968
Cluster 52394,562.12960.peg.1218,accessory,Uncharacterized outer membrane protein YpjA_1,1494
Cluster 52408,562.13502.peg.3453,unique,Integron integrase IntI2_1,105
Cluster 52409,562.13502.peg.4797,core,Protein YcgL_2,1948
Cluster 52414,562.16466.peg.5264,unique,Phage ea22 protein_2,41
Cluster 52416,562.17621.peg.3001,unique,Phage integrase_11,6
Cluster 52423,562.19186.peg.2225,unique,Toxin HigB / Protein kinase domain of HipA_4,9
Cluster 52427,562.19632.peg.4640,unique,Phage protein_75,62
Cluster 52428,562.22431.peg.1294,unique,"Death on curing protein, Doc toxin_6",28
Cluster 52432,562.22434.peg.4460,unique,Uncharacterized protein YeeL_2,8
Cluster 52433,562.22434.peg.4254,unique,Conjugative transfer protein TrbD_1,14
Cluster 52435,562.22437.peg.4933,unique,putative membrane protein_11,47
Cluster 52438,562.22443.peg.4724,unique,"Death on curing protein, Doc toxin_8",71
Cluster 52442,562.22451.peg.4830,unique,Phage protein_112,28
Cluster 52445,562.22455.peg.4921,unique,Programmed cell death toxin MazF_1,26
Cluster 52446,562.22460.peg.4754,unique,Rhs-family protein_5,6
Cluster 52449,562.22482.peg.3822,unique,Acetyltransferase_4,14
Cluster 52450,562.22482.peg.4904,unique,"Multidrug efflux system AcrEF-TolC, inner-membrane proton/drug antiporter AcrF (RND type)_5",14
Cluster 52453,562.22510.peg.3884,unique,Phage Cox (control of excision) protein_8,12
Cluster 52458,562.22556.peg.2451,unique,Putative uncharacterized protein YtfA_4,34
Cluster 52461,562.22591.peg.635,unique,Type III secretion protein EprH_3,9
Cluster 52470,562.22628.peg.296,accessory,Mobile element protein_307,379
Cluster 52476,562.22677.peg.3838,unique,Putative uncharacterized protein YtfA_5,19
Cluster 52498,562.22837.peg.667,unique,Diguanylate cyclase (EC 2.7.7.65) => DgcJ_6,6
Cluster 52502,562.22848.peg.4176,unique,ATP-dependent Clp protease ATP-binding subunit ClpX_6,14
Cluster 52503,562.22856.peg.4775,accessory,CcdB toxin protein_8,929
Cluster 52513,562.22964.peg.4872,unique,Thiosulfate reductase cytochrome B subunit (membrane anchoring protein)_2,5
Cluster 52523,562.23110.peg.5300,unique,COG1896: Predicted hydrolases of HD superfamily_11,7
Cluster 52532,562.23262.peg.2381,unique,Uncharacterized oxidoreductase YgcW_5,28
Cluster 52537,562.23336.peg.2009,accessory,LysR family transcriptional regulator YgfI_7,336
Cluster 52560,562.23550.peg.5254,unique,Transposase InsO for insertion sequence element IS911_59,10
Cluster 52585,562.23814.peg.5438,unique,Mobile element protein_785,89
Cluster 52596,562.28998.peg.52,unique,N-acetylneuraminate epimerase (EC 5.1.3.24)_14,18
Cluster 52597,562.28998.peg.2329,unique,"Putative uncharacterized protein ydbL, may be related to amine metabolism_6",13
Cluster 52603,562.42635.peg.5390,unique,"COG1136: ABC-type antimicrobial peptide transport system, ATPase component_1",17
Cluster 52605,562.42649.peg.4259,unique,core protein_25,100
Cluster 52606,562.42653.peg.5587,unique,"Phage tail tip, host specificity protein J_133",11
Cluster 52613,562.42744.peg.1525,unique,Uncharacterized protein YbhM_12,8
Cluster 52633,562.45399.peg.4663,unique,Plasmid SOS inhibition protein PsiB_18,5
Cluster 52635,562.7567.peg.4738,unique,Putative uncharacterized protein YtfA_16,5
Cluster 52637,562.7576.peg.2850,unique,Uncharacterized protein STM2137_4,7
Cluster 52638,562.7576.peg.4320,unique,Macrolide export ATP-binding/permease protein MacB_11,5
Cluster 52639,562.7581.peg.1352,unique,"PTS system, galactitol-specific IIA component (EC 2.7.1.200)_9",5
Cluster 52641,562.7634.peg.2150,unique,Uncharacterized protein YpjB_22,5
Cluster 52644,562.7650.peg.5244,unique,"Phage tail fiber, side tail fiber protein Stf_512",48
Cluster 52662,562.12959.peg.2127,core,Inner membrane protein YgbE_1,1965
Cluster 52665,562.12959.peg.1011,accessory,Antitoxin to RelE-like translational repressor toxin_3,851
Cluster 52667,562.12959.peg.2308,core,Iron-sulfur cluster assembly iron binding protein IscA_1,1970
Cluster 52669,562.12959.peg.4274,core,UPF0145 protein YbjQ_1,1966
Cluster 52670,562.12960.peg.4881,unique,Phage DNA packaging_1,87
Cluster 52675,562.12961.peg.2384,core,Putative outer membrane lipoprotein_3,1969
Cluster 52681,562.13502.peg.1290,unique,Anti-adapter protein IraM_2,48
Cluster 52684,562.16324.peg.4282,accessory,Phage holin/antiholin component S_1,359
Cluster 52685,562.16324.peg.782,accessory,Threonine-rich inner membrane protein GfcA_1,485
Cluster 52686,562.16325.peg.1996,accessory,Phage DNA packaging_2,396
Cluster 52689,562.16325.peg.1989,unique,Phage small tail protein E_2,117
Cluster 52691,562.16466.peg.2278,unique,Integrase_13,13
Cluster 52698,562.22432.peg.4983,unique,SAM-dependent methyltransferase_5,33
Cluster 52702,562.22439.peg.4675,accessory,Putative pectin degradation protein_2,384
Cluster 52711,562.22457.peg.5041,accessory,Phage repressor protein cI_21,221
Cluster 52713,562.22463.peg.2498,unique,"FIG018226: DNA replication protein, phage-associated_1",35
Cluster 52714,562.22464.peg.3687,unique,"Putative uncharacterized protein ydbL, may be related to amine metabolism_3",42
Cluster 52715,562.22467.peg.4263,accessory,IncF plasmid conjugative transfer protein TrbD_3,369
Cluster 52725,562.22524.peg.1499,unique,Putative arylsulfate sulfotransferase (EC 2.8.2.22)_3,11
Cluster 52726,562.22528.peg.5058,unique,Putative transposase InsK for insertion sequence element IS150_21,22
Cluster 52728,562.22540.peg.2195,unique,Uncharacterized protein YdhW_1,8
Cluster 52732,562.22559.peg.4839,unique,"Error-prone, lesion bypass DNA polymerase V (UmuC)_16",12
Cluster 52733,562.22563.peg.4679,unique,Phage protein_181,28
Cluster 52734,562.22605.peg.5066,accessory,Arsenical resistance operon repressor_8,562
Cluster 52745,562.22647.peg.3362,unique,Uncharacterized protein YigI_1,5
Cluster 52758,562.22746.peg.4117,unique,Uncharacterized protein YjbM_4,16
Cluster 52759,562.22752.peg.5191,unique,"Phage tail fiber, side tail fiber protein Stf_135",5
Cluster 52760,562.22754.peg.4364,unique,probable sufite oxidase (EC 1.8.3.1)_6,18
Cluster 52763,562.22791.peg.1755,unique,Holliday junction resolvase / Crossover junction endodeoxyribonuclease rusA (EC 3.1.22.-)_13,22
Cluster 52780,562.22947.peg.4226,unique,Excisionase_2,5
Cluster 52782,562.22962.peg.2444,accessory,Transposase InsN for insertion sequence element IS911_13,449
Cluster 52850,562.30306.peg.4657,unique,"Phage tail fiber, side tail fiber protein Stf_341",31
Cluster 52855,562.42646.peg.5294,accessory,DNA replication protein_44,284
Cluster 52862,562.42661.peg.5287,unique,"Phage protein Mup29, H_23",7
Cluster 52873,562.42739.peg.5305,unique,"Phage virion morphogenesis protein Mup31, G_13",17
Cluster 52899,562.45404.peg.5136,unique,Transposase InsN for insertion sequence element IS911_31,5
Cluster 52903,562.7565.peg.4742,unique,Transposase InsI for insertion sequence element IS30_27,15
Cluster 52910,562.7632.peg.5271,unique,Clamp-binding protein paralog_38,53
Cluster 52911,562.7637.peg.5285,unique,"Phage tail tip, host specificity protein J_223",6
Cluster 52934,562.7789.peg.344,unique,"DNA-binding transcriptional regulator, MocR family / aminotransferase domain_16",7
Cluster 52936,562.12959.peg.3243,core,"PTS system, N,N'-diacetylchitobiose-specific IIB component (EC 2.7.1.196)_1",1963
Cluster 52937,562.12959.peg.1141,core,"Frataxin homolog CyaY, facilitates Fe-S cluster assembly, interacts with IscS_1",1969
Cluster 52938,562.12959.peg.1306,core,"PTS system, fructose-like IIB component FrwB_1",1963
Cluster 52941,562.12960.peg.2857,accessory,3-phenylpropionate dioxygenase ferredoxin subunit_1,772
Cluster 52949,562.12961.peg.1861,unique,Urease beta subunit (EC 3.5.1.5)_1,7
Cluster 52954,562.13502.peg.1236,unique,Uncharacterized protein YceQ_1,114
Cluster 52958,562.16325.peg.805,unique,Mobile element protein_52,12
Cluster 52963,562.17359.peg.303,unique,Phage protein_68,6
Cluster 52964,562.17359.peg.311,unique,Phage immunity repressor protein GpC_4,9
Cluster 52968,562.19184.peg.1647,unique,Uncharacterized protein YegL_2,5
Cluster 52976,562.22433.peg.3022,accessory,Putative transport protein_5,187
Cluster 52977,562.22433.peg.1439,unique,Phage eae protein_9,59
Cluster 52978,562.22434.peg.5064,unique,VapC toxin protein_3,58
Cluster 52979,562.22435.peg.3050,unique,"PTS system, IIB component_8",116
Cluster 52983,562.22448.peg.4340,unique,Transposase and inactivated derivatives_6,83
Cluster 52988,562.22453.peg.4835,unique,mannose-specific adhesin FimH_3,5
Cluster 52989,562.22453.peg.2061,unique,Toxin HigB_9,24
Cluster 52990,562.22454.peg.5141,unique,Phage DNA N-6-adenine methyltransferase_2,30
Cluster 52991,562.22460.peg.4299,unique,Prophage CP4-57 integrase_3,7
Cluster 52996,562.22477.peg.1833,unique,YeeV toxin protein_2,9
Cluster 53004,562.22495.peg.5382,unique,"IS, phage, Tn; Transposon-related functions_17",5
Cluster 53026,562.22641.peg.524,unique,"Putative sugar kinase, PfkB family protein (EC 2.7.1.-)_5",81
Cluster 53033,562.22699.peg.311,unique,Putative ankyrin repeat protein B_18,41
Cluster 53034,562.22700.peg.1718,unique,"Phage tail fiber, tail fiber assembly protein Tfa_15",135
Cluster 53037,562.22720.peg.2659,unique,Pyridoxine 4-dehydrogenase PhxI (EC 1.1.1.65)_5,6
Cluster 53057,562.22865.peg.4824,unique,Uncharacterized protein YfdN_2,6
Cluster 53060,562.22907.peg.4459,unique,"Phage terminase, small subunit_21",5
Cluster 53061,562.22912.peg.4890,accessory,Phage exclusion protein ren_2,1061
Cluster 53068,562.22947.peg.3950,unique,Antitoxin to RelE-like translational repressor toxin_9,13
Cluster 53078,562.23004.peg.2084,unique,L-ribulose-5-phosphate 3-epimerase UlaE (EC 5.1.3.22)_4,5
Cluster 53081,562.23028.peg.5016,unique,Phage portal vertex protein GpQ_26,6
Cluster 53089,562.23153.peg.4798,accessory,IncF plasmid conjugative transfer pilus assembly protein TraL_3,1262
Cluster 53110,562.23441.peg.4979,unique,"Phage head, head-tail joining protein FII_7",9
Cluster 53112,562.23453.peg.4365,unique,Uncharacterized protein YfiL_1,9
Cluster 53119,562.23548.peg.490,unique,Glyoxylate carboligase (EC 4.1.1.47)_14,12
Cluster 53121,562.23555.peg.3458,unique,Phage lysozyme R (EC 3.2.1.17)_50,26
Cluster 53127,562.23608.peg.5296,unique,Plasmid SOS inhibition protein PsiB_13,12
Cluster 53136,562.23807.peg.493,unique,Electron transport complex protein RnfC_8,8
Cluster 53149,562.30304.peg.484,unique,Oxygen-regulated invasion protein OrgA_5,6
Cluster 53161,562.42656.peg.4668,unique,Putative Rhs-family protein_42,5
Cluster 53162,562.42656.peg.1418,unique,Mobile element protein_1002,19
Cluster 53176,562.42729.peg.4695,unique,HigB toxin protein_1,5
Cluster 53182,562.42811.peg.1697,unique,"Regulatory protein (induces abgABT, used to catabolize p-aminobenzoyl-glutamate)_9",5
Cluster 53186,562.42818.peg.4425,accessory,"PTS system, IIB component_14",1400
Cluster 53196,562.42850.peg.4283,unique,Mobile element protein_1250,11
Cluster 53205,562.45847.peg.4746,accessory,Transposase InsN for insertion sequence element IS911_33,511
Cluster 53220,562.7670.peg.4964,unique,"Phage tail, component T_18",9
Cluster 53223,562.7673.peg.5202,unique,"Phage tail, component Z_39",8
Cluster 53237,562.12959.peg.4705,core,Cell division protein BolA_1,1965
Cluster 53239,562.12959.peg.327,core,"Small multidrug resistance (SMR) efflux transporter => SugE, quaternary ammonium compounds_1",1966
Cluster 53240,562.12959.peg.4517,core,Ribosomal silencing factor RsfA_1,1970
Cluster 53243,562.12959.peg.4070,core,Heat shock protein HspQ_1,1970
Cluster 53244,562.12959.peg.1293,core,Methionine repressor MetJ_1,1970
Cluster 53246,562.12960.peg.4458,accessory,D-allose-6-phosphate isomerase (EC 5.3.1.-) @ Ribose-5-phosphate isomerase B (EC 5.3.1.6)_2,378
Cluster 53249,562.12961.peg.1512,core,"Cell division protein DivIC (FtsB), stabilizes FtsL against RasP cleavage_1",1970
Cluster 53259,562.16325.peg.2009,accessory,Phage holin/antiholin component S_2,536
Cluster 53263,562.16466.peg.3084,unique,Error-prone repair protein UmuD_8,27
Cluster 53265,562.17620.peg.5162,unique,IncN plasmid KikA protein_3,5
Cluster 53268,562.19185.peg.3710,accessory,Mobile element protein_87,273
Cluster 53270,562.22428.peg.203,unique,AidA-I adhesin-like protein_9,109
Cluster 53271,562.22429.peg.1948,unique,Colicin E2 tolerance protein CbrC-like protein => CbrC_2,17
Cluster 53272,562.22430.peg.3534,accessory,"Phage tail, component T_2",302
Cluster 53273,562.22430.peg.1725,accessory,putative virulence protein_2,190
Cluster 53276,562.22432.peg.4314,unique,Phage protein_89,25
Cluster 53277,562.22434.peg.2675,accessory,RelE-like translational repressor toxin_4,295
Cluster 53278,562.22434.peg.3893,unique,Phage tail protein E_2,59
Cluster 53280,562.22436.peg.4941,unique,Mobile element protein_125,17
Cluster 53286,562.22454.peg.1258,unique,Phage integrase_38,16
Cluster 53292,562.22465.peg.5032,unique,"Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)_16",43
Cluster 53299,562.22554.peg.4500,unique,IncN plasmid KikA protein_6,18
Cluster 53309,562.22606.peg.3927,unique,T6SS component Hcp / alpha/beta hydrolase domain_6,5
Cluster 53317,562.22667.peg.4696,unique,"Major pilus subunit of type IV secretion complex, VirB2_6",7
Cluster 53319,562.22676.peg.3019,unique,Phage protein_243,115
Cluster 53328,562.22734.peg.2926,unique,putative membrane protein_52,14
Cluster 53330,562.22746.peg.4786,unique,Phage DNA replication protein P_7,13
Cluster 53333,562.22754.peg.3986,unique,Putative manganese efflux pump MntP_2,19
